question_0,imageurl_0,question_1,imageurl_1,question_2,imageurl_2,question_3,imageurl_3,question_4,imageurl_4,question_5,imageurl_5,question_6,imageurl_6,question_7,imageurl_7
Is that a new device?,http://farm5.staticflickr.com/4039/4669177664_74d471947f_z.jpg,Are the buildings new?,http://farm8.staticflickr.com/7222/7198390356_308bff43d2_z.jpg,Is this a new train?,http://farm9.staticflickr.com/8258/8640475356_b130fa7374_z.jpg,Is this a new fire hydrant?,http://farm1.staticflickr.com/37/97685452_a7f22aa849_z.jpg,Is this bathroom new?,http://farm4.staticflickr.com/3304/3598414153_4a2e1e9d81_z.jpg,Is this a new plane?,http://farm6.staticflickr.com/5469/9665686876_f7f63fc861_z.jpg,Are these new appliances?,http://farm4.staticflickr.com/3054/2875900557_9a4dd436d6_z.jpg,Is this a new vehicle?,http://farm3.staticflickr.com/2838/9539684744_271104b9e5_z.jpg
Is the boat new?,http://farm8.staticflickr.com/7380/9831568383_76d269ebc6_z.jpg,Are these motorcycles new?,http://farm8.staticflickr.com/7252/7522962848_2f5e7bd841_z.jpg,Is the building new?,http://farm4.staticflickr.com/3185/2399968697_cbe7b95b41_z.jpg,Is the bridge new?,http://farm4.staticflickr.com/3222/2407746681_4e5026e2a7_z.jpg,Is the refrigerator new?,http://farm7.staticflickr.com/6238/6282443910_5477113bf6_z.jpg,Is this a new building?,http://farm3.staticflickr.com/2669/4053772205_76fc3805f9_z.jpg,Is the skateboard brand new?,http://farm5.staticflickr.com/4098/4916429693_af8227280e_z.jpg,Are those new appliances?,http://farm9.staticflickr.com/8289/7601600982_76192aa860_z.jpg
Does this bicycle look brand new?,http://farm4.staticflickr.com/3134/2460336929_c002cbf76e_z.jpg,Is the bus new?,http://farm4.staticflickr.com/3761/9251876382_395e5493da_z.jpg,Is the suitcase brand new?,http://farm9.staticflickr.com/8164/7215283710_622c4f7040_z.jpg,Is the computer new?,http://farm3.staticflickr.com/2492/5812924771_1ec43e7a40_z.jpg,Is the train new?,http://farm4.staticflickr.com/3727/9288887696_72f9708fdb_z.jpg,Are these new appliances?,http://farm5.staticflickr.com/4084/5055001528_c9f4c1b7e2_z.jpg,Does this device look brand new?,http://farm3.staticflickr.com/2656/3794113704_1ca0f3d3a2_z.jpg,Is the toothbrush new?,http://farm1.staticflickr.com/224/506093782_38231762c7_z.jpg
Is this a new truck?,http://farm3.staticflickr.com/2091/3531528870_34fdcf4501_z.jpg,Is this a brand-new sign?,http://farm1.staticflickr.com/49/114454664_2b323f5898_z.jpg,Is the vehicle new?,http://farm6.staticflickr.com/5102/5786037692_fc7f286bdd_z.jpg,Are the appliances new?,http://farm5.staticflickr.com/4133/5017756431_0cc35b1ea8_z.jpg,Is this bear brand new?,http://farm5.staticflickr.com/4031/4438805968_ec247b0ac5_z.jpg,Is this a new structure?,http://farm8.staticflickr.com/7169/6727455175_99a1c93c04_z.jpg,Is this a new bathroom?,http://farm3.staticflickr.com/2347/3686286054_65c4730c73_z.jpg,Is this stuffed animal new?,http://farm9.staticflickr.com/8542/8631272329_f92652eb98_z.jpg
Are these new toys?,http://farm9.staticflickr.com/8314/8070165822_b4dde037b1_z.jpg,Is the fire hydrant new?,http://farm4.staticflickr.com/3250/3049482928_a77b89e0ab_z.jpg,Are these suitcases new?,http://farm4.staticflickr.com/3118/3622801408_5ddae28518_z.jpg,Is this a new black-and-white photograph?,http://farm1.staticflickr.com/218/500281653_07c908815a_z.jpg,Is this new flooring?,http://farm5.staticflickr.com/4009/4586518760_6b3d02f30f_z.jpg,Does the toilet look new?,http://farm7.staticflickr.com/6011/5982138464_ccdf555564_z.jpg,Are these scissors new?,http://farm4.staticflickr.com/3137/3011167425_774b645cbd_z.jpg,Is this a new truck?,http://farm8.staticflickr.com/7141/6464729523_037196f294_z.jpg
Are these stoves new?,http://farm9.staticflickr.com/8284/7605650324_c1a2ef76e3_z.jpg,Is this a new vehicle?,http://farm4.staticflickr.com/3018/3063159487_28743e79ee_z.jpg,Is the man wearing new jeans?,http://farm2.staticflickr.com/1114/5134639056_ce7fe0524b_z.jpg,Are these appliances new?,http://farm3.staticflickr.com/2025/2492052980_3670e0f17a_z.jpg,Does the countertop look new?,http://farm7.staticflickr.com/6098/6279276791_323c978033_z.jpg,Is that a new  bench?,http://farm9.staticflickr.com/8366/8369945083_6358140627_z.jpg,Are these new appliances?,http://farm8.staticflickr.com/7061/6936466087_806463bec3_z.jpg,Is this a new bus?,http://farm9.staticflickr.com/8479/8212475146_43ea4f0216_z.jpg
Is the fence new?,http://farm4.staticflickr.com/3344/3485323156_8306b7fe6e_z.jpg,Is this a new kitchen?,http://farm8.staticflickr.com/7147/6583432999_3ec6f513bd_z.jpg,Is this a new building?,http://farm6.staticflickr.com/5454/8918082909_c49c211e87_z.jpg,Does the wall look new?,http://farm6.staticflickr.com/5225/5658795270_e34f1de270_z.jpg,Is this pottery new?,http://farm1.staticflickr.com/149/420328269_c4f344c277_z.jpg,Is the fire hydrant new?,http://farm2.staticflickr.com/1112/1158918284_c343c3d4dd_z.jpg,Does the train appear to be new?,http://farm8.staticflickr.com/7284/8715827786_9ffcac1fa5_z.jpg,Is the building new?,http://farm7.staticflickr.com/6142/5928172237_10a850fb8a_z.jpg
Is the couch new?,http://farm4.staticflickr.com/3477/3901567101_abc0c5e0af_z.jpg,Is the boat new?,http://farm8.staticflickr.com/7324/10094423453_6df94de370_z.jpg,Is the train new?,http://farm4.staticflickr.com/3237/2934518943_84f1c43e46_z.jpg,Is this a new phone?,http://farm2.staticflickr.com/1146/1485601351_c769dac5cc_z.jpg,Are the bikes new?,http://farm7.staticflickr.com/6173/6195197990_19a554c90d_z.jpg,Is this stuffed animal new?,http://farm5.staticflickr.com/4009/4435786875_24cba9d180_z.jpg,Are these phones old to new?,http://farm4.staticflickr.com/3094/2668695859_1f59b76f3e_z.jpg,Is this a new sign?,http://farm1.staticflickr.com/3/3263374_605363bdb0_z.jpg
Is this a new bathroom?,http://farm4.staticflickr.com/3495/3896261691_af7c42165a_z.jpg,Is this a new timepiece?,http://farm7.staticflickr.com/6154/6249973629_d7bd79fdbb_z.jpg,Is this a new structure?,http://farm9.staticflickr.com/8077/8342006410_cba9558b02_z.jpg,Are these new shoes?,http://farm1.staticflickr.com/120/303643577_f058c21111_z.jpg,Is this a new television?,http://farm1.staticflickr.com/13/18158651_9ea9fca10e_z.jpg,Are the appliances new?,http://farm3.staticflickr.com/2424/3624991927_58e4e36f9b_z.jpg,Does the bike look new?,http://farm3.staticflickr.com/2578/4232522029_9dffb2a2df_z.jpg,Is that a new car?,http://farm6.staticflickr.com/5294/5467631843_4d1e60b0db_z.jpg
Is the bench new?,http://farm1.staticflickr.com/141/403692194_524adcb0d3_z.jpg,Is this bear brand new?,http://farm6.staticflickr.com/5201/5358181135_33bfb1d72e_z.jpg,Is that a new monitor?,http://farm1.staticflickr.com/145/354685962_5f09b4e780_z.jpg,Does this bathroom look new?,http://farm8.staticflickr.com/7191/6790351970_bd3263c6a9_z.jpg,Is the silver bike new?,http://farm3.staticflickr.com/2887/8990105276_cd66f532ea_z.jpg,Is the train new?,http://farm6.staticflickr.com/5498/9733077679_c6471c1a75_z.jpg,Is the laptop new?,http://farm4.staticflickr.com/3431/3349324905_8546fbf731_z.jpg,Is this a new bathroom?,http://farm6.staticflickr.com/5464/9724559029_9d397ba760_z.jpg
Is this a new computer?,http://farm1.staticflickr.com/1/2423336_97e124d45d_z.jpg,Is this a brand new meter?,http://farm4.staticflickr.com/3093/2684666590_9e9ae31de5_z.jpg,Is the bench new?,http://farm3.staticflickr.com/2674/4027215837_466f96d314_z.jpg,Does this look like a new truck?,http://farm8.staticflickr.com/7207/6809604832_a907904307_z.jpg,Is the teddy bear new?,http://farm1.staticflickr.com/131/320584066_d25de60c74_z.jpg,Is this a new computer?,http://farm4.staticflickr.com/3370/3336652592_98650198c6_z.jpg,Is this a new bus?,http://farm3.staticflickr.com/2860/9524548920_3bc5285c32_z.jpg,Does the wall look new?,http://farm8.staticflickr.com/7454/9408958553_c006c83ce0_z.jpg
Is this a new picture?,http://farm1.staticflickr.com/13/19665361_95f627ee8f_z.jpg,Does the white car look new?,http://farm6.staticflickr.com/5067/5562467239_ee81b67d7e_z.jpg,Are these stoves new?,http://farm1.staticflickr.com/43/76687407_f3ea30e304_z.jpg,Is this a new building?,http://farm5.staticflickr.com/4020/4286811731_26e97d0dab_z.jpg,Is that a new car?,http://farm4.staticflickr.com/3573/3385843441_dd0853e27b_z.jpg,Is this a new boat?,http://farm6.staticflickr.com/5314/5912278670_d612b928a6_z.jpg,Is this a new train?,http://farm4.staticflickr.com/3584/3369803856_60712c9c48_z.jpg,Is this a new building?,http://farm6.staticflickr.com/5269/5581618280_9faefbfea3_z.jpg
Is the couch new?,http://farm2.staticflickr.com/1125/1304487820_f75ba1a732_z.jpg,Is the computer new?,http://farm8.staticflickr.com/7196/6974632431_6bfafe02d9_z.jpg,Is this a new bear?,http://farm4.staticflickr.com/3570/3375928035_fcda31a360_z.jpg,Does the white car look new?,http://farm6.staticflickr.com/5201/5371200348_6bf182e7b8_z.jpg,Is this a new kitchen?,http://farm1.staticflickr.com/178/423518384_36bbd33ae8_z.jpg,Does the bike look new?,http://farm3.staticflickr.com/2068/2135673297_6c75c29c61_z.jpg,Is this train new?,http://farm3.staticflickr.com/2868/8771856531_cfeb7bca21_z.jpg,Is this car new?,http://farm8.staticflickr.com/7149/6611217261_326a585381_z.jpg
Is this a brand new truck?,http://farm3.staticflickr.com/2862/9138944576_89f82b73f8_z.jpg,Is this sign new?,http://farm4.staticflickr.com/3151/3074880409_1c078e2220_z.jpg,Is that a new phone?,http://farm5.staticflickr.com/4063/4346769242_0334e97b91_z.jpg,Is the bus new?,http://farm3.staticflickr.com/2820/9782131862_a4cd9db2b2_z.jpg,Is this a new couch?,http://farm3.staticflickr.com/2521/3972237722_bbddf0c17c_z.jpg,Are these appliances new?,http://farm1.staticflickr.com/70/172663289_7047e4e9dd_z.jpg,Is this device brand new?,http://farm1.staticflickr.com/50/130421739_46156f84eb_z.jpg,Is this a new timepiece?,http://farm3.staticflickr.com/2771/4430292451_016753cdb2_z.jpg
Is this a new stop sign?,http://farm9.staticflickr.com/8510/8540137263_00b611cace_z.jpg,Is the train new?,http://farm6.staticflickr.com/5476/9509339323_ea1b11abbe_z.jpg,Is this a new oven?,http://farm8.staticflickr.com/7293/9328108723_480ed7ce09_z.jpg,Is this a new stop sign?,http://farm1.staticflickr.com/42/106978088_589987f3f6_z.jpg,Is this a new kitchen?,http://farm2.staticflickr.com/1258/704339554_ed58b641e1_z.jpg,Is this a new blender?,http://farm7.staticflickr.com/6144/5967658970_332eec40b8_z.jpg,Are these scissors new?,http://farm4.staticflickr.com/3575/3467218993_d636edd8a9_z.jpg,Is this a new boat?,http://farm6.staticflickr.com/5265/5575256838_38c35b9282_z.jpg
Does the countertop look new?,http://farm3.staticflickr.com/2041/2519707896_5f1b7cc957_z.jpg,Is that a new car?,http://farm7.staticflickr.com/6035/6292445906_dcb4133c67_z.jpg,Is this a new television?,http://farm9.staticflickr.com/8507/8372799193_cbec48224e_z.jpg,Is the payment new?,http://farm1.staticflickr.com/161/433131972_0c7dfd1fbe_z.jpg,Is this a new photo?,http://farm6.staticflickr.com/5321/9418846018_93a057a75c_z.jpg,Is the red couch new?,http://farm2.staticflickr.com/1293/664518198_b38ff9e6a0_z.jpg,Is the truck new?,http://farm9.staticflickr.com/8046/8150642174_9e8870ff5c_z.jpg,Is this a new picture?,http://farm9.staticflickr.com/8160/7450004312_fc85bebe36_z.jpg
Are these trains new?,http://farm4.staticflickr.com/3712/9532006979_cebb7d8b64_z.jpg,Is the bench new?,http://farm1.staticflickr.com/21/30049664_8b56f5be99_z.jpg,Is this a new toilet?,http://farm5.staticflickr.com/4019/4281464072_4e7765174e_z.jpg,Is this a new fire hydrant?,http://farm1.staticflickr.com/60/195929467_4440422c5f_z.jpg,Is this bathroom new?,http://farm1.staticflickr.com/136/322658911_54c8570097_z.jpg,Is this a new picture?,http://farm5.staticflickr.com/4142/4803664403_0830cebb9d_z.jpg,Does this bicycle look brand new?,http://farm8.staticflickr.com/7063/6886080910_43ffa10732_z.jpg,Is this a brand-new sign?,http://farm6.staticflickr.com/5152/5801761961_b033be2c97_z.jpg
Are these new shoes?,http://farm1.staticflickr.com/105/303643663_f7d4b03299_z.jpg,Are the buildings new?,http://farm5.staticflickr.com/4113/4987714588_67e2ce4f34_z.jpg,Is this a new bench?,http://farm9.staticflickr.com/8465/8364910528_a5716800c2_z.jpg,Is this train brand new?,http://farm6.staticflickr.com/5347/9230475462_240f715ee2_z.jpg,Are these vehicles new?,http://farm6.staticflickr.com/5275/7148099043_6fb23c3c43_z.jpg,Is this a new plane?,http://farm6.staticflickr.com/5249/5244417257_c1932339f0_z.jpg,Is this a new train engine?,http://farm6.staticflickr.com/5071/7187412092_2cfe58c298_z.jpg,Is this a new fire hydrant?,http://farm4.staticflickr.com/3186/2993403583_36f3b1c21f_z.jpg
